kernel_id,kernel,size,gflops_best,gflops_median,cublas_gflops_best,pct_of_cublas
1,naive,512,73.18,73.06,4369.07,1.68
1,naive,1024,81.14,80.98,5991.86,1.35
1,naive,2048,82.55,82.53,6817.23,1.21
1,naive,4096,82.78,82.78,7101.47,1.17
2,coalesced,512,597.14,591.75,4519.72,13.21
2,coalesced,1024,667.67,666.19,6043.67,11.05
2,coalesced,2048,682.06,681.83,6839.47,9.97
2,coalesced,4096,646.56,639.76,7092.09,9.12
3,smem,512,753.29,744.73,4519.72,16.67
3,smem,1024,845.97,844.60,6026.30,14.04
3,smem,2048,861.21,860.90,6845.05,12.58
3,smem,4096,814.67,814.57,7090.21,11.49
4,tile1d,512,2166.48,2097.15,4443.12,48.76
4,tile1d,1024,2404.99,2391.28,6043.67,39.79
4,tile1d,2048,2668.13,2666.01,6836.68,39.03
4,tile1d,4096,2579.03,2560.09,7089.46,36.38
5,tile2d,512,1759.36,1713.36,4519.72,38.93
5,tile2d,1024,4186.45,4152.78,6043.67,69.27
5,tile2d,2048,4659.04,4633.31,6847.84,68.04
5,tile2d,4096,5267.36,5250.26,7086.47,74.33
6,vectorized,512,2202.89,2202.89,4443.12,49.58
6,vectorized,1024,5489.93,5433.04,6026.30,91.10
6,vectorized,2048,5689.12,5677.57,6845.05,83.11
6,vectorized,4096,6254.62,6248.24,7099.21,88.10
7,warptile,512,2131.25,2114.06,4443.12,47.97
7,warptile,1024,5715.28,5653.65,6061.13,94.29
7,warptile,2048,5783.25,5716.26,6859.04,84.32
7,warptile,4096,6405.35,6360.43,7101.09,90.20
8,dbuffer,512,2240.55,2166.48,4519.72,49.57
8,dbuffer,1024,5958.35,5745.62,6061.13,98.30
8,dbuffer,2048,6127.54,6052.39,6859.04,89.34
8,dbuffer,4096,6801.69,6741.56,7084.97,96.00
9,tensorcore,512,2674.94,2674.94,4443.12,60.20
9,tensorcore,1024,6574.14,6492.73,6009.03,109.40
9,tensorcore,2048,7191.26,7169.75,6850.64,104.97
9,tensorcore,4096,8130.48,8120.63,7100.34,114.51
