kernel_id,kernel,size,gflops_best,gflops_median,cublas_gflops_best,pct_of_cublas
1,naive,128,34.08,33.55,212.78,16.02
1,naive,256,71.89,71.65,1294.54,5.55
1,naive,512,117.27,117.03,4046.60,2.90
1,naive,1024,130.88,130.81,8824.31,1.48
1,naive,1536,135.08,134.99,10720.01,1.26
1,naive,2048,137.09,137.07,11643.01,1.18
1,naive,4096,138.21,138.21,12217.13,1.13
1,naive,6144,136.83,136.79,11524.90,1.19
2,coalesced,128,191.35,183.32,213.47,89.64
2,coalesced,256,503.16,493.22,1305.82,38.61
2,coalesced,512,893.93,887.68,4128.25,21.65
2,coalesced,1024,1029.64,1027.98,8854.58,11.63
2,coalesced,1536,1061.87,1060.48,10672.53,9.95
2,coalesced,2048,1067.96,1067.24,11621.34,9.19
2,coalesced,4096,900.99,899.87,12183.75,7.39
2,coalesced,6144,901.97,901.44,11523.01,7.82
3,smem,128,234.90,224.05,211.41,111.11
3,smem,256,650.08,629.02,1320.62,49.23
3,smem,512,1173.89,1163.47,4128.25,28.48
3,smem,1024,1361.62,1355.63,8922.86,15.25
3,smem,1536,1418.02,1409.60,10666.00,13.29
3,smem,2048,1415.35,1411.76,11612.79,12.19
3,smem,4096,1376.58,1375.79,12177.71,11.31
3,smem,6144,1380.00,1379.01,11520.40,11.98
4,tile1d,128,150.83,145.47,211.75,71.23
4,tile1d,256,713.32,686.24,1300.96,54.83
4,tile1d,512,1996.34,1962.25,4128.25,48.36
4,tile1d,1024,3504.20,3494.53,8878.01,39.47
4,tile1d,1536,4095.11,4091.12,10676.05,38.36
4,tile1d,2048,4129.11,4108.70,11617.31,35.53
4,tile1d,4096,4280.12,4277.60,12173.46,35.16
4,tile1d,6144,4311.21,4309.24,11521.42,37.42
5,tile2d,128,85.06,81.77,212.78,39.97
5,tile2d,256,382.69,375.56,1297.74,29.60
5,tile2d,512,1712.31,1691.93,4054.43,42.21
5,tile2d,1024,4546.67,4512.43,8883.88,51.17
5,tile2d,1536,6678.63,6661.35,10675.55,62.56
5,tile2d,2048,7310.73,7294.94,11613.54,62.97
5,tile2d,4096,8412.35,8371.83,12171.05,69.17
5,tile2d,6144,8640.18,8567.11,11518.45,74.94
6,vectorized,128,99.30,97.09,209.05,47.50
6,vectorized,256,446.01,441.32,1300.96,34.34
6,vectorized,512,1913.46,1897.02,4114.08,46.44
6,vectorized,1024,5460.89,5435.24,8837.09,61.73
6,vectorized,1536,7641.96,7618.82,10677.06,71.57
6,vectorized,2048,8425.60,8408.97,11611.03,72.59
6,vectorized,4096,10217.67,10198.07,12158.33,84.09
6,vectorized,6144,10440.51,10431.75,11514.88,90.69
7,warptile,128,84.29,81.72,213.47,39.42
7,warptile,256,408.80,399.15,1302.58,31.35
7,warptile,512,1830.37,1818.08,4088.02,44.77
7,warptile,1024,5253.96,5237.97,8845.24,59.26
7,warptile,1536,6054.65,6030.47,10675.55,56.72
7,warptile,2048,7356.61,7228.44,11609.78,63.39
7,warptile,4096,9640.43,9496.87,12160.64,79.26
7,warptile,6144,9778.57,9730.17,11513.37,84.93
8,dbuffer,128,90.83,88.80,207.72,43.64
8,dbuffer,256,447.54,441.69,1302.58,34.30
8,dbuffer,512,2028.68,1995.86,4042.70,49.94
8,dbuffer,1024,5384.22,5376.88,8856.92,60.72
8,dbuffer,1536,6291.98,6272.12,10675.04,59.01
8,dbuffer,2048,7877.09,7795.20,11616.31,67.81
8,dbuffer,4096,10604.75,10527.58,12160.09,87.21
8,dbuffer,6144,11369.15,11341.71,11521.69,98.73
9,tensorcore,128,92.96,88.98,206.09,45.11
9,tensorcore,256,419.77,410.72,1299.35,32.31
9,tensorcore,512,1810.23,1794.74,4076.10,44.21
9,tensorcore,1024,4150.98,4129.52,8863.94,46.70
9,tensorcore,1536,6381.87,6365.01,10674.04,59.76
9,tensorcore,2048,6955.10,6940.17,11610.03,59.93
9,tensorcore,4096,7875.08,7852.98,12157.37,64.78
9,tensorcore,6144,8184.96,8173.87,11518.99,71.09
10,mma,128,105.79,102.16,209.72,50.04
10,mma,256,553.05,544.43,1302.58,42.32
10,mma,512,2592.28,2566.89,4082.05,63.50
10,mma,1024,7227.66,7101.47,8855.75,81.50
10,mma,1536,10936.38,10892.72,10674.54,102.33
10,mma,2048,12172.29,12085.70,11612.54,104.85
10,mma,4096,14198.19,14155.56,12175.08,116.62
10,mma,6144,14885.58,14862.88,11519.22,128.99
11,cpasync,128,108.23,104.52,211.07,51.07
11,cpasync,256,572.68,563.45,1305.82,43.88
11,cpasync,512,2701.65,2674.94,4146.62,65.15
11,cpasync,1024,7440.01,7391.66,8922.86,83.86
11,cpasync,1536,11401.01,11353.00,10678.57,106.77
11,cpasync,2048,12761.98,12726.58,11613.80,109.74
11,cpasync,4096,15351.94,15337.64,12157.92,126.26
11,cpasync,6144,15699.46,15660.19,11516.51,136.36
