kernel_id,kernel,size,gflops_best,gflops_median,cublas_gflops_best,pct_of_cublas
10,mma,2048,10119.33,10077.54,8604.25,117.52
11,cpasync,2048,10704.66,10626.90,8601.22,124.49
1,naive,4096,106.04,106.03,9487.95,1.12
2,coalesced,4096,702.71,702.63,9508.72,7.39
3,smem,4096,1063.84,1063.68,9499.64,11.20
4,tile1d,4096,3285.34,3282.13,9493.55,34.61
5,tile2d,4096,6561.76,6545.06,9501.47,69.06
6,vectorized,4096,7897.32,7882.77,9481.23,83.29
7,warptile,4096,7302.29,7244.55,9493.05,76.92
8,dbuffer,4096,8423.93,8288.16,9493.99,88.73
9,tensorcore,4096,6182.89,6173.78,9484.83,65.19
10,mma,4096,11100.23,11085.36,9496.49,116.89
11,cpasync,4096,12025.10,12000.80,9487.91,126.74
